flask,lake,strain,combo_temp,quality,combo,genotype,Trophic,temp,Crash_Numeric,Crash,ExpPhase,,,ExpPhase_Z,wk2,,,wk2_Z,wk3,,,wk3_Z,wk4,,,wk4_Z
28,CR,CR19-06,LNLG_24,good,LNLG,LG,LN,24,5,none,0.1909,0.0563,stdev,0.6151,0.1155,0.0696,stdev,-0.7233,0.2658,0.1254,stdev,1.9449,0.1537,0.2274,stdev,-0.045
29,F,F19-02,HNHG_24,none,HNHG,HG,HN,24,3,3,0.3852,0.1318,stdev,1.3247,0.3852,0.1182,stdev,1.3247,-0.0457,0.0338,stdev,-1.9435,-0.1108,0.0808,stdev,-2.4373
30,FA,FA19-02,HNHG_24,good,HNHG,HG,HN,24,4,4,0.2868,0.1633,stdev,0.1164,0.2868,0.1633,stdev,0.1164,0.0122,0.0851,stdev,-1.5656,-0.0725,0.1552,stdev,-2.0841
31,FA,FA19-05,HNHG_24,good,HNHG,HG,HN,24,4,4,0.4337,0.1421,stdev,1.3019,0.4337,0.269,stdev,1.3019,0,0.197,stdev,-1.7509,-0.0776,0.1558,stdev,-2.2968
32,FA,FA19-06,HNHG_24,good,HNHG,HG,HN,24,4,4,0.191,0.1144,stdev,0.8478,0.363,0.2307,stdev,2.3515,0.051,0.1637,stdev,-0.3766,-0.0907,0.1652,stdev,-1.6151
33,G,G19-01,LNLG_24,good,LNLG,LG,LN,24,5,none,0.1105,0.0969,stdev,0.1372,0.1293,0.1657,stdev,0.3314,0.1076,0.0502,stdev,0.1069,0.099,0.1436,stdev,0.0187
34,G,G19-02,LNLG_24,good,LNLG,LG,LN,24,5,none,0.1679,0.0808,stdev,0.8135,0.1944,0.2162,stdev,1.1422,0.1949,0.0494,stdev,1.1485,0.1105,0.0714,stdev,0.1042
35,SM,SM19-01,HNHG_24,OK,HNHG,HG,HN,24,3,3,0.218,0.2022,stdev,0.7479,0.218,0.1595,stdev,0.7479,-0.0517,0.1054,stdev,-0.5862,-0.0883,0.3275,stdev,-0.7674
36,SM,SM19-03,HNLG_24,good,HNLG,LG,HN,24,5,none,0.1529,0.2052,stdev,-0.5333,0.2887,0.1843,stdev,0.1289,0.0984,0.1057,stdev,-0.7989,0.1138,0.1897,stdev,-0.7234
37,SM,SM19-04,HNLG_24,good,HNLG,LG,HN,24,5,none,0.3606,0.1029,stdev,0.9321,0.2932,0.21,stdev,0.2765,0.4155,0.248,stdev,1.4661,0.014,0.0365,stdev,-2.4373
38,WH,WH19-01,HNLG_24,good,HNLG,LG,HN,24,3,3,0.2557,0.0712,stdev,0.2719,0.2557,0.0488,stdev,0.2719,-0.0394,0.09,stdev,-3.8714,0.0201,0.0677,stdev,-3.0352
39,WH,WH19-02,HNHG_24,good,HNHG,HG,HN,24,4,4,0.2061,0.0365,stdev,0.2776,0.3004,0.0398,stdev,2.8581,0.1293,0.0359,stdev,-1.8238,-0.0547,0.0608,stdev,-6.8592
40,WH,WH19-04,HNHG_24,good,HNHG,HG,HN,24,4,4,0.2054,0.0418,stdev,-0.1036,0.3096,0.0984,stdev,2.3878,0.1206,0.0681,stdev,-2.1322,-0.0767,0.0527,stdev,-6.8522
41,AR,AR19-01,HNLG_28,good,HNLG,LG,HN,28,3,3,0.3279,,,-0.4953,0.3279,,,0.2778,-0.014,,,-0.1947,0.0349,,,-0.2402
42,BU,BU19-01,LNLG_28,good,LNLG,LG,LN,28,4,4,0.0829,,,0.0065,0.1388,,,0.6351,0.0374,,,-0.5054,-0.0478,,,-1.463
43,BU,BU19-02,LNLG_28,good,LNLG,LG,LN,28,4,4,0.0778,,,-0.35578,0.0171,,,-0.846,0.1273,,,-0.5281,-0.1297,,,-1.2697
