flask,Lake,strain,combo_temp,combo,genotype,Trophic,temp,Crash_Numeric,Crash,Phase,Growth,NeverPositive,Growth_Z,Keep,Growth_Z_by_timepoint,NegativePositiveGrowth
13,G19,G19-01,LNLG_20,LNLG,LG,LN,20,5,none,Exp,0.1122,n,0.155,y,0.155017314,positive
13,G19,G19-01,LNLG_20,LNLG,LG,LN,20,5,none,wk2,0.1088,n,0.1196,y,0.223294366,positive
13,G19,G19-01,LNLG_20,LNLG,LG,LN,20,5,none,wk3,0.1092,n,0.1233,y,-0.170421887,positive
13,G19,G19-01,LNLG_20,LNLG,LG,LN,20,5,none,wk4,0.1191,n,0.2256,y,0.875883588,positive
14,G19,G19-02,LNLG_20,LNLG,LG,LN,20,5,none,Exp,0.1496,n,0.5881,y,0.587580058,positive
14,G19,G19-02,LNLG_20,LNLG,LG,LN,20,5,none,wk2,0.0791,n,-0.285,y,0.15633658,positive
14,G19,G19-02,LNLG_20,LNLG,LG,LN,20,5,none,wk3,0.1812,n,0.9787,y,0.288819562,positive
14,G19,G19-02,LNLG_20,LNLG,LG,LN,20,5,none,wk4,0.1656,n,0.7855,y,1.162706891,positive
15,SM19,SM19-01,HNHG_20,HNHG,HG,HN,20,5,none,Exp,0.2063,n,0.6897,y,0.689881152,positive
15,SM19,SM19-01,HNHG_20,HNHG,HG,HN,20,5,none,wk2,0.3452,n,1.3772,y,1.203387977,positive
15,SM19,SM19-01,HNHG_20,HNHG,HG,HN,20,5,none,wk3,0.1709,n,0.5148,y,1.490582107,positive
15,SM19,SM19-01,HNHG_20,HNHG,HG,HN,20,5,none,wk4,0.1395,n,0.3595,y,0.873313206,positive
16,SM19,SM19-03,HNLG_20,HNLG,LG,HN,20,5,none,Exp,0.0601,n,-0.9853,y,-0.985425051,positive
16,SM19,SM19-03,HNLG_20,HNLG,LG,HN,20,5,none,wk2,0.0962,n,-0.8095,y,-1.26828901,positive
16,SM19,SM19-03,HNLG_20,HNLG,LG,HN,20,5,none,wk3,0.0106,n,-1.2266,y,-0.682390768,positive
16,SM19,SM19-03,HNLG_20,HNLG,LG,HN,20,5,none,wk4,0.0959,n,-0.8107,y,0.765827016,positive
17,SM19,SM19-04,HNLG_20,HNLG,LG,HN,20,5,none,Exp,0.3121,n,0.4602,y,0.460506625,positive
17,SM19,SM19-04,HNLG_20,HNLG,LG,HN,20,5,none,wk2,0.4432,n,1.7351,y,0.986271999,positive
17,SM19,SM19-04,HNLG_20,HNLG,LG,HN,20,5,none,wk3,0.4484,n,1.7858,y,0.76161624,positive
17,SM19,SM19-04,HNLG_20,HNLG,LG,HN,20,5,none,wk4,0.0255,n,-2.3251,y,0.733341725,positive
18,WH19,WH19-01,HNLG_20,HNLG,LG,HN,20,4,4,Exp,0.207,n,-0.4117,y,-0.411471673,positive
18,WH19,WH19-01,HNLG_20,HNLG,LG,HN,20,4,4,wk2,0.315,n,1.1045,y,0.729066461,positive
18,WH19,WH19-01,HNLG_20,HNLG,LG,HN,20,4,4,wk3,0.119,n,-1.6464,y,0.939345641,positive
18,WH19,WH19-01,HNLG_20,HNLG,LG,HN,20,4,4,wk4,-0.1411,n,-5.2985,y,-1.280276501,negative
19,WH19,WH19-02,HNHG_20,HNHG,HG,HN,20,4,4,Exp,0.2333,n,1.0219,y,1.022245045,positive
19,WH19,WH19-02,HNHG_20,HNHG,HG,HN,20,4,4,wk2,0.3466,n,4.1201,y,1.075614935,positive
19,WH19,WH19-02,HNHG_20,HNHG,HG,HN,20,4,4,wk3,0.1411,n,-1.5009,y,0.915297761,positive
