flask,Lake,strain,combo_temp,combo,genotype,Trophic,temp,Crash_Numeric,Crash,Phase,Growth,NeverPositive,Growth_Z,Keep,Growth_Z_by_timepoint,NegativePositiveGrowth
54,G19,G19-02,LNLG_28,LNLG,LG,LN,28,5,none,Exp,0.1029,n,0.0099,y,0.009896085,positive
54,G19,G19-02,LNLG_28,LNLG,LG,LN,28,5,none,wk2,0.1776,n,0.9344,y,0.611932828,positive
54,G19,G19-02,LNLG_28,LNLG,LG,LN,28,5,none,wk3,0.0936,n,-0.1049,y,-1.483551272,positive
54,G19,G19-02,LNLG_28,LNLG,LG,LN,28,5,none,wk4,0.0542,n,-0.5926,y,-0.397371973,positive
55,SM19,SM19-01,HNHG_28,HNHG,HG,HN,28,2,2,Exp,-0.2164,y,-1.4013,y,-1.40128244,negative
55,SM19,SM19-01,HNHG_28,HNHG,HG,HN,28,2,2,wk2,-0.0093,y,-0.3767,y,-1.020229629,negative
55,SM19,SM19-01,HNHG_28,HNHG,HG,HN,28,2,2,wk3,-0.0409,y,-0.5331,y,-0.518999626,negative
55,SM19,SM19-01,HNHG_28,HNHG,HG,HN,28,2,2,wk4,-0.6165,y,-3.3801,y,-1.434761549,negative
56,SM19,SM19-03,HNLG_28,HNLG,LG,HN,28,4,4,Exp,0.3065,n,0.2153,y,0.215409433,positive
56,SM19,SM19-03,HNLG_28,HNLG,LG,HN,28,4,4,wk2,0.4052,n,0.6966,y,0.408294109,positive
56,SM19,SM19-03,HNLG_28,HNLG,LG,HN,28,4,4,wk3,0.226,n,-0.1767,y,1.355556843,positive
56,SM19,SM19-03,HNLG_28,HNLG,LG,HN,28,4,4,wk4,-0.283,n,-2.6573,y,-1.232257725,negative
57,SM19,SM19-04,HNLG_28,HNLG,LG,HN,28,2,2,Exp,0.1222,n,-1.3854,y,-1.385408057,positive
57,SM19,SM19-04,HNLG_28,HNLG,LG,HN,28,2,2,wk2,-0.0561,n,-3.1186,y,-1.39125659,negative
57,SM19,SM19-04,HNLG_28,HNLG,LG,HN,28,2,2,wk3,0.2674,n,0.026,y,0.031851606,positive
57,SM19,SM19-04,HNLG_28,HNLG,LG,HN,28,2,2,wk4,0.0106,n,-2.4706,y,0.325244929,positive
58,WH19,WH19-01,HNLG_28,HNLG,LG,HN,28,3,3,Exp,0.3247,n,1.2419,y,1.241436721,positive
58,WH19,WH19-01,HNLG_28,HNLG,LG,HN,28,3,3,wk2,0.3247,n,1.2419,y,0.927716592,positive
58,WH19,WH19-01,HNLG_28,HNLG,LG,HN,28,3,3,wk3,-0.0473,n,-3.9817,y,-0.907691665,negative
58,WH19,WH19-01,HNLG_28,HNLG,LG,HN,28,3,3,wk4,-0.0306,n,-3.7479,y,0.350978078,negative
59,WH19,WH19-02,HNHG_28,HNHG,HG,HN,28,4,4,Exp,0.1985,n,0.0694,y,0.069153885,positive
59,WH19,WH19-02,HNHG_28,HNHG,HG,HN,28,4,4,wk2,0.3167,n,3.3029,y,0.324631011,positive
59,WH19,WH19-02,HNHG_28,HNHG,HG,HN,28,4,4,wk3,0.1023,n,-2.5635,y,-0.164141544,positive
59,WH19,WH19-02,HNHG_28,HNHG,HG,HN,28,4,4,wk4,-0.1638,n,-9.8446,y,-0.913802531,negative
60,WH19,WH19-04,HNHG_28,HNHG,HG,HN,28,3,3,Exp,0.2192,n,0.227,y,0.226071595,positive
60,WH19,WH19-04,HNHG_28,HNHG,HG,HN,28,3,3,wk2,0.2192,n,0.227,y,-1.039539621,positive
60,WH19,WH19-04,HNHG_28,HNHG,HG,HN,28,3,3,wk3,-0.0322,n,-5.787,y,-1.2951761,negative
60,WH19,WH19-04,HNHG_28,HNHG,HG,HN,28,3,3,wk4,-0.1127,n,-7.7128,y,-1.116462479,negative
61,AR19,AR19-01,HNLG_32,HNLG,LG,HN,32,5,none,Exp,0.7039,n,1.4866,y,1.486632105,positive
61,AR19,AR19-01,HNLG_32,HNLG,LG,HN,32,5,none,wk2,0,n,-1.4709,y,-1.470955718,positive
61,AR19,AR19-01,HNLG_32,HNLG,LG,HN,32,5,none,wk3,0,n,-0.093,y,-0.093169021,positive
61,AR19,AR19-01,HNLG_32,HNLG,LG,HN,32,5,none,wk4,0.7039,n,1.4753,y,1.475331634,positive
62,BU19,BU19-01,LNLG_32,LNLG,LG,LN,32,2,2,Exp,-0.043,n,-1.4093,y,-1.409255872,negative
62,BU19,BU19-01,LNLG_32,LNLG,LG,LN,32,2,2,wk2,-0.2732,n,-3.996,y,-1.464958873,negative
62,BU19,BU19-01,LNLG_32,LNLG,LG,LN,32,2,2,wk3,0,n,-0.9254,y,-0.969024147,positive
62,BU19,BU19-01,LNLG_32,LNLG,LG,LN,32,2,2,wk4,0.0879,n,0.0625,y,1.004841945,positive
63,BU19,BU19-02,LNLG_32,LNLG,LG,LN,32,5,none,Exp,0.1023,n,-0.6001,y,-0.600064085,positive
63,BU19,BU19-02,LNLG_32,LNLG,LG,LN,32,5,none,wk2,0.0616,n,-0.7175,y,-0.758343651,positive
63,BU19,BU19-02,LNLG_32,LNLG,LG,LN,32,5,none,wk3,0.0889,n,-0.6387,y,0.396563831,positive
63,BU19,BU19-02,LNLG_32,LNLG,LG,LN,32,5,none,wk4,0.1531,n,-0.4536,y,0.919242798,positive
64,BU19,BU19-04,LNLG_32,LNLG,LG,LN,32,5,none,Exp,0.2056,n,0.5442,y,0.54295985,positive
64,BU19,BU19-04,LNLG_32,LNLG,LG,LN,32,5,none,wk2,0.2682,n,2.5886,y,0.857948071,positive
64,BU19,BU19-04,LNLG_32,LNLG,LG,LN,32,5,none,wk3,0.1547,n,-1.1205,y,-0.547460357,positive
64,BU19,BU19-04,LNLG_32,LNLG,LG,LN,32,5,none,wk4,0.0065,n,-5.9579,y,0.650514512,positive
65,CH19,CH19-02,HNLG_32,HNLG,LG,HN,32,4,4,Exp,0.5669,n,1.4577,y,1.457779967,positive
65,CH19,CH19-02,HNLG_32,HNLG,LG,HN,32,4,4,wk2,0.5669,n,1.4577,y,1.442962052,positive
65,CH19,CH19-02,HNLG_32,HNLG,LG,HN,32,4,4,wk3,0,n,-1.3815,y,-1.038238129,positive
65,CH19,CH19-02,HNLG_32,HNLG,LG,HN,32,4,4,wk4,-0.1309,n,-2.0371,y,-1.111103373,negative
66,CR19,CR19-01,LNHG_32,LNHG,HG,LN,32,4,4,Exp,0.1332,n,-0.5614,n,-0.561924879,positive
66,CR19,CR19-01,LNHG_32,LNHG,HG,LN,32,4,4,wk2,0.1412,n,-0.4004,n,0.275360675,positive
66,CR19,CR19-01,LNHG_32,LNHG,HG,LN,32,4,4,wk3,0.1268,n,-0.6925,n,-1.08146644,positive
66,CR19,CR19-01,LNHG_32,LNHG,HG,LN,32,4,4,wk4,-0.2797,n,-8.9037,n,-1.490113759,negative
67,CR19,CR19-05,LNLG_32,LNLG,LG,LN,32,4,4,Exp,0.2569,n,1.0203,y,1.019277471,positive
67,CR19,CR19-05,LNLG_32,LNLG,LG,LN,32,4,4,wk2,0.231,n,0.3083,y,0.266892693,positive
67,CR19,CR19-05,LNLG_32,LNLG,LG,LN,32,4,4,wk3,0.278,n,1.6001,y,0.492927451,positive
67,CR19,CR19-05,LNLG_32,LNLG,LG,LN,32,4,4,wk4,-0.3191,n,-14.8326,y,-1.101122447,negative
68,CR19,CR19-06,LNLG_32,LNLG,LG,LN,32,4,4,Exp,0.1888,n,0.5777,y,0.57764014,positive
68,CR19,CR19-06,LNLG_32,LNLG,LG,LN,32,4,4,wk2,0,n,-2.7741,y,-0.979285101,positive
68,CR19,CR19-06,LNLG_32,LNLG,LG,LN,32,4,4,wk3,0.3426,n,3.3071,y,0.934690064,positive
68,CR19,CR19-06,LNLG_32,LNLG,LG,LN,32,4,4,wk4,-0.3165,n,-8.393,y,-1.492753638,negative
69,F19,F19-02,HNHG_32,HNHG,HG,HN,32,4,4,Exp,0.172,n,-0.2921,y,-0.291950422,positive
69,F19,F19-02,HNHG_32,HNHG,HG,HN,32,4,4,wk2,0.172,n,-0.2921,y,-0.411734413,positive
69,F19,F19-02,HNHG_32,HNHG,HG,HN,32,4,4,wk3,0.0077,n,-1.5384,y,0.26451412,positive
69,F19,F19-02,HNHG_32,HNHG,HG,HN,32,4,4,wk4,-0.2358,n,-3.3851,y,-0.149141773,negative
70,FA19,FA19-02,HNHG_32,HNHG,HG,HN,32,3,3,Exp,0.23,n,-0.2312,y,-0.23141383,positive
70,FA19,FA19-02,HNHG_32,HNHG,HG,HN,32,3,3,wk2,0.23,n,-0.2312,y,-0.23141383,positive
70,FA19,FA19-02,HNHG_32,HNHG,HG,HN,32,3,3,wk3,-0.1937,n,-2.8269,y,-1.334977608,negative
70,FA19,FA19-02,HNHG_32,HNHG,HG,HN,32,3,3,wk4,0.0296,n,-1.4589,y,1.030965603,positive
71,FA19,FA19-05,HNHG_32,HNHG,HG,HN,32,3,3,Exp,0.2797,n,0.218,y,0.217863245,positive
71,FA19,FA19-05,HNHG_32,HNHG,HG,HN,32,3,3,wk2,0.2797,n,0.218,y,0.456031914,positive
71,FA19,FA19-05,HNHG_32,HNHG,HG,HN,32,3,3,wk3,-0.0405,n,-2.0363,y,-0.522062688,negative
71,FA19,FA19-05,HNHG_32,HNHG,HG,HN,32,3,3,wk4,-0.0216,n,-1.9032,y,-0.172798131,negative
72,FA19,FA19-06,HNHG_32,HNHG,HG,HN,32,3,3,Exp,0.1541,n,0.5245,y,0.524942471,positive
72,FA19,FA19-06,HNHG_32,HNHG,HG,HN,32,3,3,wk2,0.1541,n,0.5245,y,0.323785307,positive
72,FA19,FA19-06,HNHG_32,HNHG,HG,HN,32,3,3,wk3,-0.1616,n,-2.2353,y,-1.066395322,negative
72,FA19,FA19-06,HNHG_32,HNHG,HG,HN,32,3,3,wk4,0.2096,n,1.0099,y,1.018517597,positive
73,G19,G19-01,LNLG_32,LNLG,LG,LN,32,2,2,Exp,-0.034,n,-1.3533,y,-1.353370792,negative
73,G19,G19-01,LNLG_32,LNLG,LG,LN,32,2,2,wk2,-0.1668,n,-2.7236,y,-1.439946913,negative
73,G19,G19-01,LNLG_32,LNLG,LG,LN,32,2,2,wk3,0.0671,n,-0.3102,y,-1.009575272,positive
73,G19,G19-01,LNLG_32,LNLG,LG,LN,32,2,2,wk4,-0.0588,n,-1.6098,y,-0.3629929,negative
74,G19,G19-02,LNLG_32,LNLG,LG,LN,32,2,2,Exp,-0.012,n,-1.4115,y,-1.41142915,negative
74,G19,G19-02,LNLG_32,LNLG,LG,LN,32,2,2,wk2,-0.2699,n,-4.6024,y,-1.457907992,negative
74,G19,G19-02,LNLG_32,LNLG,LG,LN,32,2,2,wk3,0.198,n,1.1868,y,0.628726298,positive
74,G19,G19-02,LNLG_32,LNLG,LG,LN,32,2,2,wk4,0,n,-1.2633,y,-1.156404957,positive
75,SM19,SM19-01,HNHG_32,HNHG,HG,HN,32,3,3,Exp,0.0595,n,-0.0363,y,-0.03636161,positive
75,SM19,SM19-01,HNHG_32,HNHG,HG,HN,32,3,3,wk2,0.0595,n,-0.0363,y,-0.588678455,positive
75,SM19,SM19-01,HNHG_32,HNHG,HG,HN,32,3,3,wk3,-0.0231,n,-0.4449,y,-0.350111265,negative
75,SM19,SM19-01,HNHG_32,HNHG,HG,HN,32,3,3,wk4,-0.0209,n,-0.4341,y,0.383610573,negative
76,SM19,SM19-03,HNLG_32,HNLG,LG,HN,32,3,3,Exp,0.5297,n,1.3033,y,1.303178332,positive
76,SM19,SM19-03,HNLG_32,HNLG,LG,HN,32,3,3,wk2,0.5297,n,1.3033,y,1.083810609,positive
76,SM19,SM19-03,HNLG_32,HNLG,LG,HN,32,3,3,wk3,-0.0041,n,-1.2983,y,-0.821470758,negative
76,SM19,SM19-03,HNLG_32,HNLG,LG,HN,32,3,3,wk4,-0.124,n,-1.8826,y,-0.39378986,negative
77,SM19,SM19-04,HNLG_32,HNLG,LG,HN,32,3,3,Exp,0.264,n,-0.007,y,-0.007047331,positive
77,SM19,SM19-04,HNLG_32,HNLG,LG,HN,32,3,3,wk2,0.264,n,-0.007,y,0.132971131,positive
77,SM19,SM19-04,HNLG_32,HNLG,LG,HN,32,3,3,wk3,-0.0933,n,-3.4804,y,-1.42243626,negative
77,SM19,SM19-04,HNLG_32,HNLG,LG,HN,32,3,3,wk4,-0.0552,n,-3.1097,y,-1.476954342,negative
78,WH19,WH19-01,HNLG_32,HNLG,LG,HN,32,4,4,Exp,0.1578,n,-1.102,y,-1.102407043,positive
78,WH19,WH19-01,HNLG_32,HNLG,LG,HN,32,4,4,wk2,0.2222,n,-0.1979,y,-1.171421392,positive
78,WH19,WH19-01,HNLG_32,HNLG,LG,HN,32,4,4,wk3,0.1054,n,-1.8382,y,0.788295086,positive
78,WH19,WH19-01,HNLG_32,HNLG,LG,HN,32,4,4,wk4,-0.0659,n,-4.2431,y,-0.170137638,negative
79,WH19,WH19-02,HNHG_32,HNHG,HG,HN,32,4,4,Exp,0.146,n,-1.3689,y,-1.36869916,positive
79,WH19,WH19-02,HNHG_32,HNHG,HG,HN,32,4,4,wk2,0.2514,n,1.5151,y,-1.315477693,positive
79,WH19,WH19-02,HNHG_32,HNHG,HG,HN,32,4,4,wk3,0.0601,n,-3.7173,y,-1.338170891,positive
79,WH19,WH19-02,HNHG_32,HNHG,HG,HN,32,4,4,wk4,-0.0566,n,-6.9112,y,0.849647178,negative
80,WH19,WH19-04,HNHG_32,HNHG,HG,HN,32,4,4,Exp,0.1566,n,-1.2721,y,-1.271503205,positive
80,WH19,WH19-04,HNHG_32,HNHG,HG,HN,32,4,4,wk2,0.3013,n,2.1888,y,-0.20485793,positive
80,WH19,WH19-04,HNHG_32,HNHG,HG,HN,32,4,4,wk3,0.0388,n,-4.0903,y,-0.251982645,positive
80,WH19,WH19-04,HNHG_32,HNHG,HG,HN,32,4,4,wk4,-0.0355,n,-5.8656,y,0.348123815,negative
